Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boom by cindy joseph cosmetics,EXACT,boom by cindy joseph cosmetics,40,1,2.5000%,$0.93,0.93,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boom cosmetics 3 sticks by cindy joseph,EXACT,boom cosmetics 3 sticks by cindy joseph,2,1,50.0000%,$0.16,0.16,79.00,0.2025%,493.75,1,1,100.0000%,1,0,$79.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Color,USD,Boomstick Color_B08V1CG1GF_dis_br_sp_kw_p_omg,PHRASE,boom make up,PHRASE,boom make up for women,1,1,100.0000%,$1.65,1.65,28.00,5.8929%,16.97,1,1,100.0000%,1,0,$28.00,$0.00
"Dec 16, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom stick by cindy joseph,BROAD,cindy joseph boom sticks,6,2,33.3333%,$0.62,1.24,79.00,1.5696%,63.71,1,1,50.0000%,1,0,$79.00,$0.00
"Dec 19, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boomsticks trio,BROAD,boomstick trio,7,2,28.5714%,$1.11,2.22,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_p_omg,PHRASE,boom make up,PHRASE,boom make up,2,1,50.0000%,$0.41,0.41,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_p_omg,PHRASE,boomstick trio,PHRASE,boomstick trio,10,1,10.0000%,$0.25,0.25,79.00,0.3165%,316.00,1,1,100.0000%,1,0,$79.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom cindy joseph,BROAD,boom cindy joseph,3,1,33.3333%,$0.25,0.25,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom sticks trio,BROAD,boom trio sticks,2,1,50.0000%,$0.25,0.25,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom boom,BROAD,boom,88,3,3.4091%,$1.05,3.14,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom makeup sticks for older women,BROAD,boom makeup sticks for older women,8,1,12.5000%,$1.17,1.17,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom. makeup,BROAD,boom makeup,184,3,1.6304%,$0.85,2.55,28.00,9.1071%,10.98,1,1,33.3333%,0,1,$0.00,$28.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,contour stick,EXACT,contour stick,5411,6,0.1109%,$2.89,17.33,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,blush stick cheeks,EXACT,blush stick for cheeks,155,1,0.6452%,$3.44,3.44,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
